,id,name
337,5.1.3_AFG.TOTA.AID.FRA,"International aid disbursed to total education, France to Afghanistan (USD million)"
338,5.1.3_ALB.TOTA.AID.CEIB,"International aid disbursed to total education, CEIB to Albania (USD million)"
339,5.1.3_BFA.TOTA.AID.CHE," International aid disbursed to total education, Switzerland to Burkina Faso (USD million)  "
340,5.1.3_CIV.TOTA.AID.WB," International aid disbursed to total education, World Bank to Côte d'Ivoire (USD million)   "
341,5.1.3_CMR.TOTA.AID.FR,"International aid disbursed to total education, AFD and French Embassy to Cameroun (USD million) "
342,5.1.3_DJI.TOTA.AID.AFD,"International aid disbursed to total education, AFD to Djibouti (USD million) "
343,5.1.3_ETH.TOTA.AID.DFID,"International aid disbursed to total education, DFID to Ethiopia (USD million) "
344,5.1.3_GEO.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Georgia (USD million)"
345,5.1.3_GHA.TOTA.AID.JICA,"International aid disbursed to total education, JICA to Djibouti (USD million) "
346,5.1.3_GIN.TOTA.AID.ADPP.WB,"International aid disbursed to total education, World Bank to Guinea (USD million) "
347,5.1.3_GNB.TOTA.AID.ADPP.OTH,"International aid disbursed to total education, ADPP (other donors) to Guinea Bissau (USD million) "
348,5.1.3_KGZ.TOTA.AID.ADPP.UNICEF," International aid disbursed to total education, UNICEF to Kyrgyzstan (USD million)  "
349,5.1.3_KHM.TOTA.AID.GPE," International aid disbursed to total education, Global Partnership for Education to Cambodia (USD million)  "
350,5.1.3_LAO.TOTA.AID.EC," International aid disbursed to total education, European Commission to Laos (USD million)  "
351,5.1.3_LBR.TOTA.AID.WB," International aid disbursed to total education, World Bank to Liberia (USD million)  "
352,5.1.3_MDG.TOTA.AID.FR, International aid to total education executed by AFD and French Embassy in Madagascar (USD million)  
353,5.1.3_MOZ.TOTA.AID.DFID," International aid disbursed to total education, DFID to Mozambique (USD million) "
354,5.1.3_MRT.TOTA.AID.SP,"International aid disbursed to total education, Spanish Cooperation to Mauritania (USD million)"
